customer_id,customer_type,regions,building_size_m2,occupants,energy_cost_brl,Cost per square meter,Cost per occupant,People per square meter,Categorize building size,,,434370.14
CUSTOMER_0001,residential,Northeast,24,2,64.51,2.69,32.26,0.08,Small,,,2.632276117
CUSTOMER_0002,commercial,Midwest,24,1,55.26,2.30,55.26,0.04,Small,,,5001
CUSTOMER_0003,commercial,Southeast,24,1,74.54,3.11,74.54,0.04,Small,,,
CUSTOMER_0004,residential,Northeast,45,4,147.06,3.27,36.77,0.09,Small,,,
CUSTOMER_0005,residential,Southeast,45,4,143.06,3.18,35.77,0.09,Small,,,
CUSTOMER_0006,residential,North,52,2,96.7,1.86,48.35,0.04,Large,,,
CUSTOMER_0007,residential,Midwest,17,3,52.99,3.12,17.66,0.18,Small,,,
CUSTOMER_0008,commercial,Southeast,45,3,102.13,2.27,34.04,0.07,Small,,,
CUSTOMER_0009,residential,Northeast,45,2,70.03,1.56,35.02,0.04,Small,,,
CUSTOMER_0010,commercial,Midwest,45,4,158.14,3.51,39.54,0.09,Small,,,
CUSTOMER_0011,residential,Northeast,52,3,65.47,1.26,21.82,0.06,Large,,,
CUSTOMER_0012,commercial,Midwest,45,3,76.71,1.70,25.57,0.07,Small,,,
CUSTOMER_0013,commercial,Midwest,77,3,70.67,0.92,23.56,0.04,Large,,,
CUSTOMER_0014,residential,Midwest,24,2,70.77,2.95,35.39,0.08,Small,,,
CUSTOMER_0015,residential,Northeast,45,1,95.75,2.13,95.75,0.02,Small,,,
CUSTOMER_0016,residential,Northeast,17,1,90.83,5.34,90.83,0.06,Small,,,
CUSTOMER_0017,residential,North,17,1,103.45,6.09,103.45,0.06,Small,,,
CUSTOMER_0018,residential,Northeast,24,1,84,3.50,84.00,0.04,Small,,,
CUSTOMER_0019,residential,Midwest,17,1,76.29,4.49,76.29,0.06,Small,,,
CUSTOMER_0020,residential,Southeast,24,3,57.13,2.38,19.04,0.13,Small,,,
CUSTOMER_0021,residential,Midwest,24,3,103.67,4.32,34.56,0.13,Small,,,
CUSTOMER_0022,residential,Midwest,17,3,80.82,4.75,26.94,0.18,Small,,,
CUSTOMER_0023,residential,South,77,2,88.47,1.15,44.24,0.03,Large,,,
CUSTOMER_0024,residential,Midwest,17,3,73.39,4.32,24.46,0.18,Small,,,
CUSTOMER_0025,residential,South,45,4,133.88,2.98,33.47,0.09,Small,,,
CUSTOMER_0026,commercial,Midwest,24,1,100.9,4.20,100.90,0.04,Small,,,
CUSTOMER_0027,residential,Northeast,77,4,112.98,1.47,28.25,0.05,Large,,,
CUSTOMER_0028,residential,North,52,3,67.51,1.30,22.50,0.06,Large,,,
CUSTOMER_0029,residential,Midwest,45,1,60.31,1.34,60.31,0.02,Small,,,
CUSTOMER_0030,residential,North,45,3,93.18,2.07,31.06,0.07,Small,,,
CUSTOMER_0031,residential,Northeast,17,1,55.69,3.28,55.69,0.06,Small,,,
CUSTOMER_0032,residential,Midwest,77,3,56.69,0.74,18.90,0.04,Large,,,
CUSTOMER_0033,residential,Midwest,52,1,67.83,1.30,67.83,0.02,Large,,,
CUSTOMER_0034,commercial,Midwest,52,1,78.9,1.52,78.90,0.02,Large,,,
CUSTOMER_0035,commercial,Northeast,45,2,73.36,1.63,36.68,0.04,Small,,,
CUSTOMER_0036,commercial,Northeast,24,3,54.8,2.28,18.27,0.13,Small,,,
CUSTOMER_0037,residential,Midwest,52,4,156.34,3.01,39.09,0.08,Large,,,
CUSTOMER_0038,residential,South,24,1,101.43,4.23,101.43,0.04,Small,,,
CUSTOMER_0039,commercial,Midwest,45,3,66.84,1.49,22.28,0.07,Small,,,
CUSTOMER_0040,residential,South,17,1,90.06,5.30,90.06,0.06,Small,,,
CUSTOMER_0041,residential,Midwest,77,2,82.21,1.07,41.11,0.03,Large,,,
CUSTOMER_0042,residential,Midwest,17,2,64.69,3.81,32.35,0.12,Small,,,
CUSTOMER_0043,residential,Northeast,24,2,65.96,2.75,32.98,0.08,Small,,,
CUSTOMER_0044,commercial,Midwest,45,2,77.72,1.73,38.86,0.04,Small,,,
CUSTOMER_0045,residential,Midwest,45,4,126.84,2.82,31.71,0.09,Small,,,
CUSTOMER_0046,commercial,Midwest,45,4,119.82,2.66,29.96,0.09,Small,,,
CUSTOMER_0047,residential,Midwest,24,1,93.97,3.92,93.97,0.04,Small,,,
CUSTOMER_0048,residential,Midwest,17,3,77.22,4.54,25.74,0.18,Small,,,
CUSTOMER_0049,residential,Northeast,45,2,86.13,1.91,43.07,0.04,Small,,,
CUSTOMER_0050,residential,Midwest,77,2,62.22,0.81,31.11,0.03,Large,,,
CUSTOMER_0051,commercial,Northeast,52,4,133.1,2.56,33.28,0.08,Large,,,
CUSTOMER_0052,commercial,Southeast,45,4,121.29,2.70,30.32,0.09,Small,,,
CUSTOMER_0053,commercial,Northeast,77,2,79.53,1.03,39.77,0.03,Large,,,
CUSTOMER_0054,commercial,North,45,3,92.6,2.06,30.87,0.07,Small,,,
CUSTOMER_0055,residential,Midwest,45,1,91.98,2.04,91.98,0.02,Small,,,
CUSTOMER_0056,commercial,Midwest,45,1,70.69,1.57,70.69,0.02,Small,,,
CUSTOMER_0057,residential,Midwest,45,1,88.15,1.96,88.15,0.02,Small,,,
CUSTOMER_0058,residential,Northeast,45,1,100.84,2.24,100.84,0.02,Small,,,
CUSTOMER_0059,residential,Midwest,45,3,84.63,1.88,28.21,0.07,Small,,,
CUSTOMER_0060,residential,Northeast,24,3,60.12,2.51,20.04,0.13,Small,,,
CUSTOMER_0061,residential,South,24,3,87.4,3.64,29.13,0.13,Small,,,
CUSTOMER_0062,residential,South,17,2,57.89,3.41,28.95,0.12,Small,,,
CUSTOMER_0063,commercial,Midwest,45,3,97.28,2.16,32.43,0.07,Small,,,
CUSTOMER_0064,residential,Northeast,24,1,79.03,3.29,79.03,0.04,Small,,,
CUSTOMER_0065,residential,Midwest,17,3,72.28,4.25,24.09,0.18,Small,,,
CUSTOMER_0066,residential,North,45,2,55.43,1.23,27.72,0.04,Small,,,
CUSTOMER_0067,residential,Midwest,45,4,124.73,2.77,31.18,0.09,Small,,,
CUSTOMER_0068,commercial,Northeast,45,1,98.88,2.20,98.88,0.02,Small,,,
CUSTOMER_0069,residential,South,45,4,105.01,2.33,26.25,0.09,Small,,,
CUSTOMER_0070,commercial,North,52,3,76.87,1.48,25.62,0.06,Large,,,
CUSTOMER_0071,commercial,Midwest,77,1,100.31,1.30,100.31,0.01,Large,,,
CUSTOMER_0072,residential,Midwest,52,1,72.78,1.40,72.78,0.02,Large,,,
CUSTOMER_0073,residential,Midwest,45,3,74.49,1.66,24.83,0.07,Small,,,
CUSTOMER_0074,commercial,North,24,3,82.21,3.43,27.40,0.13,Small,,,
CUSTOMER_0075,commercial,South,77,2,76.27,0.99,38.14,0.03,Large,,,
CUSTOMER_0076,commercial,Midwest,24,3,61.16,2.55,20.39,0.13,Small,,,
CUSTOMER_0077,commercial,Midwest,24,3,53.45,2.23,17.82,0.13,Small,,,
CUSTOMER_0078,residential,Northeast,45,3,83.81,1.86,27.94,0.07,Small,,,
CUSTOMER_0079,residential,Midwest,17,1,99.78,5.87,99.78,0.06,Small,,,
CUSTOMER_0080,residential,Midwest,77,2,57.96,0.75,28.98,0.03,Large,,,
CUSTOMER_0081,commercial,North,45,1,63.33,1.41,63.33,0.02,Small,,,
CUSTOMER_0082,residential,North,45,3,71.51,1.59,23.84,0.07,Small,,,
CUSTOMER_0083,residential,Southeast,45,2,94.03,2.09,47.02,0.04,Small,,,
CUSTOMER_0084,residential,Northeast,45,3,66.33,1.47,22.11,0.07,Small,,,
CUSTOMER_0085,residential,Northeast,17,1,97.79,5.75,97.79,0.06,Small,,,
CUSTOMER_0086,residential,Midwest,45,1,55.32,1.23,55.32,0.02,Small,,,
CUSTOMER_0087,commercial,Midwest,45,3,100.82,2.24,33.61,0.07,Small,,,
CUSTOMER_0088,residential,North,45,2,81.29,1.81,40.65,0.04,Small,,,
CUSTOMER_0089,commercial,Midwest,45,1,86.33,1.92,86.33,0.02,Small,,,
CUSTOMER_0090,residential,North,24,3,71.38,2.97,23.79,0.13,Small,,,
CUSTOMER_0091,residential,North,24,3,92.66,3.86,30.89,0.13,Small,,,
CUSTOMER_0092,commercial,North,24,3,61.05,2.54,20.35,0.13,Small,,,
CUSTOMER_0093,commercial,Southeast,24,2,55.01,2.29,27.51,0.08,Small,,,
CUSTOMER_0094,residential,North,52,3,72.81,1.40,24.27,0.06,Large,,,
CUSTOMER_0095,commercial,North,52,4,150.65,2.90,37.66,0.08,Large,,,
CUSTOMER_0096,residential,Midwest,24,3,91.27,3.80,30.42,0.13,Small,,,
CUSTOMER_0097,residential,Southeast,45,4,132.21,2.94,33.05,0.09,Small,,,
CUSTOMER_0098,residential,Northeast,45,1,81.88,1.82,81.88,0.02,Small,,,
CUSTOMER_0099,residential,Midwest,24,3,59.17,2.47,19.72,0.13,Small,,,
CUSTOMER_0100,residential,North,24,2,95.67,3.99,47.84,0.08,Small,,,
CUSTOMER_0101,residential,Midwest,77,3,92.91,1.21,30.97,0.04,Large,,,
CUSTOMER_0102,residential,Midwest,45,4,139.84,3.11,34.96,0.09,Small,,,
CUSTOMER_0103,residential,Midwest,77,4,129.41,1.68,32.35,0.05,Large,,,
CUSTOMER_0104,residential,Northeast,24,2,102.02,4.25,51.01,0.08,Small,,,
